学会名,開催日,地域,都道府県,モダリティ,URL
第82回日本放射線技術学会総会学術大会（JRC2026）,2026年4月16日-19日,関東,神奈川県,全般,https://www.jsrt.or.jp/gmeeting/soukai82/
第39回高精度放射線外部照射部会学術大会,2026年3月14日,関東,東京都,放射線治療,https://www.jcerg2026.jp/
小線源治療部会第28回学術大会,2026年5月22日-23日,東北,青森県,放射線治療,https://2026jgb.com/
第63回日本放射線腫瘍学会生物部会学術大会・第54回放射線による制癌シンポジウム,2026年5月15日-16日,中部,岐阜県,放射線治療,https://www.k-gakkai.jp/jastro-bio2026/
粒子線治療部会2026,2026年7月24日-25日,関東,東京都,放射線治療,https://sites.google.com/view/jastroptb2026/home
第27回放射線腫瘍学夏季セミナー,2026年8月1日-2日,中部,三重県,放射線治療,https://www.jastro.or.jp/medicalpersonnel/event/summer-seminar/
第42回日本診療放射線技師学術大会,2026年9月11日-13日,東北,山形県,全般,https://yamahogi.jp/jcrt42/
第54回日本放射線技術学会秋季学術大会,2026年10月23日-25日,関東,群馬県,全般,https://jsrtautumn2026.com/
第16回東北放射線医療技術学術大会（TCRT2026）,2026年10月3日-4日,東北,岩手県,全般,https://jsrt-tohoku.jp/gakujyutu/
第54回日本磁気共鳴医学会大会,2026年10月16日-18日,九州,鹿児島県,MRI,https://www.c-linkage.co.jp/jsmrm2026/
第1回近畿放射線医療技術合同学術大会,2026年10月31日-11月1日,近畿,兵庫県,全般,http://www.hyogo-rt.org/
第39回日本放射線腫瘍学会学術大会,2026年11月12日-14日,関東,千葉県,放射線治療,https://www.jastro.or.jp/medicalpersonnel/event/congress/post.html
第66回日本核医学会学術総会・第46回日本核医学技術学会総会学術大会,2026年11月19日-21日,近畿,兵庫県,核医学,https://www.c-linkage.co.jp/jsnm-jsnmt2026/
2026年度関東甲信越診療放射線技師学術大会,2026年6月27日-28日,関東,茨城県,全般,https://ibaraki-rt.jp/
2025年度関東支部学術講演会,2026年1月13日,関東,オンライン,全般,https://jsrt-kanto.jp/
2026年日本放射線技術学会中部支部学術セミナー,2026年1月10日,中部,岐阜県,全般,https://jsrt-chubu.org/
2025年度中国・四国支部セミナー,2026年1月17日,中国四国,鳥取県,全般,https://jsrt-chushi.jp/
第4回小線源治療ハンズオンセミナー,2026年2月28日,近畿,京都府,放射線治療,https://www.jastro.or.jp/medicalpersonnel/aboutus/congress/cat2/cat3/
